,titulo,precio,ciudad,fecha_ini
145,Free tour por el parque güell,0.0,Barcelona,2024-11-08
146,Excursión a tarragona y sitges,98.5,Barcelona,2024-11-08
147,Entrada a l’aquàrium de barcelona,26.0,Barcelona,2024-11-08
148,Visita guiada por la basílica de santa maría del mar,15.0,Barcelona,2024-11-08
149,Espectáculo flamenco en el tablao cordobés,46.0,Barcelona,2024-11-08
150,Paseo en catamarán por barcelona,14.0,Barcelona,2024-11-08
151,Free tour por montjuïc,0.0,Barcelona,2024-11-08
152,Paseo en velero por barcelona,55.0,Barcelona,2024-11-08
153,Visita por el palau de la música catalana,22.0,Barcelona,2024-11-08
154,Free tour por el raval,0.0,Barcelona,2024-11-08
155,Oferta: montserrat + sagrada familia,133.0,Barcelona,2024-11-08
156,Free tour por la barceloneta y el parque de la ciudadela,0.0,Barcelona,2024-11-08
157,"Tour de dalí por cadaqués, figueras y portlligat",159.0,Barcelona,2024-11-08
158,Visita guiada por el spotify camp nou,51.0,Barcelona,2024-11-08
159,Entrada al recinto modernista de sant pau,17.0,Barcelona,2024-11-08
