,id,price,origin,destination,duration_minutes,departure,arrival,carriers
14,13870-2411010645--32222-0-9772-2411010800,125.13,Madrid,Barcelona,75,2024-11-01T06:45:00,2024-11-01T08:00:00,Iberia
15,9772-2411032030--31685-0-13870-2411032200,125.13,Barcelona,Madrid,90,2024-11-03T20:30:00,2024-11-03T22:00:00,Vueling Airlines
16,13870-2411010715--32222-0-9772-2411010830,122.05,Madrid,Barcelona,75,2024-11-01T07:15:00,2024-11-01T08:30:00,Iberia
17,9772-2411031330--32222-0-13870-2411031455,122.05,Barcelona,Madrid,85,2024-11-03T13:30:00,2024-11-03T14:55:00,Iberia
18,13870-2411011905--32222-0-9772-2411012020,126.52,Madrid,Barcelona,75,2024-11-01T19:05:00,2024-11-01T20:20:00,Iberia
19,9772-2411031515--32222-0-13870-2411031640,126.52,Barcelona,Madrid,85,2024-11-03T15:15:00,2024-11-03T16:40:00,Iberia
20,13870-2411081510--32680-0-9772-2411081635,68.73,Madrid,Barcelona,85,2024-11-08T15:10:00,2024-11-08T16:35:00,Air Europa
21,9772-2411101150--32680-0-13870-2411101320,68.73,Barcelona,Madrid,90,2024-11-10T11:50:00,2024-11-10T13:20:00,Air Europa
22,13870-2411080715--32222-0-9772-2411080830,63.46,Madrid,Barcelona,75,2024-11-08T07:15:00,2024-11-08T08:30:00,Iberia
23,9772-2411101150--32680-0-13870-2411101320,63.46,Barcelona,Madrid,90,2024-11-10T11:50:00,2024-11-10T13:20:00,Air Europa
24,13870-2411080715--32222-0-9772-2411080830,98.92,Madrid,Barcelona,75,2024-11-08T07:15:00,2024-11-08T08:30:00,Iberia
25,9772-2411101800--32222-0-13870-2411101925,98.92,Barcelona,Madrid,85,2024-11-10T18:00:00,2024-11-10T19:25:00,Iberia
26,13870-2411080715--32222-0-9772-2411080830,87.88,Madrid,Barcelona,75,2024-11-08T07:15:00,2024-11-08T08:30:00,Iberia
27,9772-2411101515--32222-0-13870-2411101640,87.88,Barcelona,Madrid,85,2024-11-10T15:15:00,2024-11-10T16:40:00,Iberia
28,13870-2411081510--32680-0-9772-2411081635,99.36,Madrid,Barcelona,85,2024-11-08T15:10:00,2024-11-08T16:35:00,Air Europa
29,9772-2411101625--31685-0-13870-2411101745,99.36,Barcelona,Madrid,80,2024-11-10T16:25:00,2024-11-10T17:45:00,Vueling Airlines
30,13870-2411080745--32222-0-9772-2411080900,102.6,Madrid,Barcelona,75,2024-11-08T07:45:00,2024-11-08T09:00:00,Iberia
31,9772-2411101515--32222-0-13870-2411101640,102.6,Barcelona,Madrid,85,2024-11-10T15:15:00,2024-11-10T16:40:00,Iberia
32,13870-2411080715--32222-0-9772-2411080830,90.0,Madrid,Barcelona,75,2024-11-08T07:15:00,2024-11-08T08:30:00,Iberia
33,9772-2411101625--31685-0-13870-2411101745,90.0,Barcelona,Madrid,80,2024-11-10T16:25:00,2024-11-10T17:45:00,Vueling Airlines
34,13870-2411081130--32222-0-9772-2411081245,99.35,Madrid,Barcelona,75,2024-11-08T11:30:00,2024-11-08T12:45:00,Iberia
35,9772-2411101150--32680-0-13870-2411101320,99.35,Barcelona,Madrid,90,2024-11-10T11:50:00,2024-11-10T13:20:00,Air Europa
