,titulo,precio,ciudad,fecha_ini
143,Paseo en catamarán al atardecer con música en directo,25.5,barcelona,2024-11-08
144,Teleférico de Montjuïc,16.0,barcelona,2024-11-08
145,Free tour por el Parque Güell,0.0,barcelona,2024-11-08
146,Excursión a Tarragona y Sitges,98.5,barcelona,2024-11-08
147,Entrada a L’Aquàrium de Barcelona,26.0,barcelona,2024-11-08
148,Visita guiada por la basílica de Santa María del Mar,15.0,barcelona,2024-11-08
149,Espectáculo flamenco en el Tablao Cordobés,46.0,barcelona,2024-11-08
150,Paseo en catamarán por Barcelona,14.0,barcelona,2024-11-08
151,Free tour por Montjuïc,0.0,barcelona,2024-11-08
152,Paseo en velero por Barcelona,55.0,barcelona,2024-11-08
153,Visita por el Palau de la Música Catalana,22.0,barcelona,2024-11-08
154,Free tour por El Raval,0.0,barcelona,2024-11-08
155,Oferta: Montserrat + Sagrada Familia,133.0,barcelona,2024-11-08
156,Free tour por la Barceloneta y el parque de la Ciudadela,0.0,barcelona,2024-11-08
157,"Tour de Dalí por Cadaqués, Figueras y Portlligat",159.0,barcelona,2024-11-08
158,Visita guiada por el Spotify Camp Nou,51.0,barcelona,2024-11-08
159,Entrada al Recinto Modernista de Sant Pau,17.0,barcelona,2024-11-08
